Player,Year,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,cluster,x_cor,y_cor,Pos
Gilbert Arenas,2010,36.5,7.9,19.3,0.41100000000000003,2.0,5.7,0.348,5.9,13.6,0.43700000000000006,0.462,4.8,6.5,0.7390000000000001,0.5,3.6,4.2,7.2,1.3,0.3,3.7,3.0,22.6,4,19.924597299722272,-5.818741148365238,PG
Trevor Ariza,2010,36.5,5.5,13.9,0.39399999999999996,1.9,5.7,0.33399999999999996,3.6,8.2,0.436,0.462,2.1,3.2,0.649,1.1,4.5,5.6,3.8,1.8,0.6,2.2,2.3,14.9,2,10.572004060739722,-2.0610962172198963,SF
Carlos Arroyo,2010,22.0,2.5,5.2,0.475,0.1,0.3,0.28,2.4,4.9,0.489,0.484,1.1,1.3,0.8440000000000001,0.4,1.4,1.8,3.1,0.5,0.1,0.8,1.4,6.1,0,-9.500157991565823,-0.9652873682321328,PG
Chucky Atkins,2010,16.1,1.4,3.9,0.363,0.6,1.8,0.301,0.9,2.1,0.41700000000000004,0.433,0.6,0.7,0.9259999999999999,0.1,0.6,0.7,2.3,0.4,0.0,0.8,1.3,4.0,0,-16.36820446710642,-2.7764568135405026,PG
D.J. Augustin,2010,18.4,2.1,5.4,0.386,0.9,2.2,0.39299999999999996,1.2,3.2,0.381,0.467,1.3,1.6,0.779,0.1,1.1,1.2,2.4,0.6,0.1,0.9,1.6,6.4,0,-12.326301358314359,-2.9186398682317027,PG
Kelenna Azubuike,2010,25.7,5.3,9.8,0.545,1.1,3.0,0.37,4.2,6.8,0.623,0.602,2.1,3.1,0.679,1.3,3.2,4.6,1.1,0.6,1.0,0.8,1.8,13.9,3,0.8358000401927674,-0.8646716179709756,SF
Leandro Barbosa,2010,17.9,3.5,8.3,0.425,1.0,3.1,0.324,2.5,5.2,0.485,0.485,1.5,1.7,0.877,0.3,1.3,1.6,1.5,0.5,0.3,1.0,1.6,9.5,0,-8.9090921901957,-3.463526859801088,PG
J.J. Barea,2010,19.8,3.0,6.8,0.44,0.7,2.0,0.35700000000000004,2.3,4.7,0.47600000000000003,0.493,1.0,1.2,0.8440000000000001,0.2,1.7,1.9,3.3,0.4,0.1,1.3,1.5,7.6,0,-9.420529432570074,-2.4642061739758483,PG
Andrea Bargnani,2010,35.0,6.7,14.3,0.47,1.5,4.1,0.37200000000000005,5.2,10.2,0.509,0.523,2.3,2.9,0.774,1.3,4.9,6.2,1.2,0.3,1.4,1.5,2.7,17.2,2,11.736500798682139,-0.08029075134025938,PF
Matt Barnes,2010,25.9,3.3,6.9,0.48700000000000004,0.8,2.6,0.319,2.5,4.3,0.586,0.546,1.3,1.8,0.74,1.3,4.2,5.5,1.7,0.7,0.4,1.4,2.3,8.8,3,-4.011249901085219,1.1085601565796728,SF
